Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
26.95,57.4,15.65,9,0,Green,Yes,1
26.84,57.47,15.68,9,0,Green,Yes,1
27.04,57.22,15.74,9,0,Green,Yes,1
27.06,57.26,15.68,9,0,Green,Yes,1
26.95,57.28,15.77,9,0,Green,Yes,1
26.88,57.3,15.82,9,0,Green,Yes,1
27.07,57.4,15.53,9,0,Green,Yes,1
26.27,58.46,15.27,12,0,Green,Yes,1
26.86,57.73,15.4,12,0,Green,Yes,1
26.14,58.49,15.37,12,0,Green,Yes,1
26.31,58.49,15.2,12,0,Green,Yes,1
26.07,58.42,15.52,12,0,Green,Yes,1
26.44,58.43,15.13,12,0,Green,Yes,1
26.56,58.14,15.3,12,0,Green,Yes,1
26.61,57.97,15.42,12,0,Green,Yes,1
26.94,57.78,15.28,12,0,Green,Yes,1
26.65,58.1,15.25,12,0,Green,Yes,1
27.29,58.48,14.24,15,0,Green,Yes,1
27.32,58.4,14.29,15,0,Green,Yes,1
27.26,58.46,14.27,15,0,Green,Yes,1
27.19,58.52,14.29,15,0,Green,Yes,1
27.27,58.4,14.33,15,0,Green,Yes,1
27.36,58.15,14.49,15,0,Green,Yes,1
27.46,58.12,14.42,15,0,Green,Yes,1
27.37,58.22,14.42,15,0,Green,Yes,1
27.32,58.17,14.51,15,0,Green,Yes,1
28.98,63.72,7.31,15,0,Green,Yes,1
31.43,62.02,6.55,18,0,Green,Yes,1
32.83,61.22,5.95,18,0,Green,Yes,1
33.92,60.3,5.79,18,0,Green,Yes,1
33.44,61.16,5.4,18,0,Green,Yes,1
33.44,61.13,5.43,18,0,Green,Yes,1
33.57,60.98,5.45,18,0,Green,Yes,1
33.76,60.46,5.78,18,0,Green,Yes,1
33.57,60.77,5.66,18,0,Green,Yes,1
28.6,61.08,10.32,18,0,Green,Yes,1
27.36,62.15,10.49,18,0,Green,Yes,1
28.61,61.09,10.3,21,0,Green,Yes,1
28.46,61.29,10.25,21,0,Green,Yes,1
28.39,61.46,10.15,21,0,Green,Yes,1
27.83,61.9,10.27,21,0,Green,Yes,1
27.83,61.69,10.49,21,0,Green,Yes,1
27.38,62,10.62,21,0,Green,Yes,1
27.28,62.14,10.58,21,0,Green,Yes,1
27.3,62.1,10.6,21,0,Green,Yes,1
28.71,55.82,15.47,21,0,Green,Yes,1
28.36,56.15,15.5,21,0,Green,Yes,1
28.15,56.07,15.78,24,0,Green,Yes,1
28.09,56.2,15.71,24,0,Green,Yes,1
28.35,55.85,15.8,24,0,Green,Yes,1
28.31,55.85,15.83,24,0,Green,Yes,1
